SALTY03202	yhbG
SALTY03201	yhbN
SALTY03200	yrbK
SALTY03199	yrbI
SALTY03198	yrbH
SALTY03197	yrbG
SALTY03196	yrbF
SALTY03195	yrbE
SALTY03194	yrbD
SALTY03192	yrbB
SALTY03190	murA
SALTY03189	nlp
SALTY03188	ispB
SALTY03187	rplU
SALTY03186	rpmA
SALTY03185	yhbZ
SALTY03184	dacB
SALTY03183	greA
SALTY03182	yhbY
SALTY03181	ftsJ
SALTY03180	hflB
SALTY03179	folP
SALTY03178	mrsA
SALTY03177	secG
SALTY03175	argG
SALTY03174	yhbC
SALTY03173	nusA
SALTY03172	infB
SALTY03169	rpsO
SALTY03168	pnp
SALTY03167	nlpI
SALTY03166	deaD
SALTY03165	mtr
SALTY03162	yhbW
SALTY03160	yhbU
SALTY03159	yhbT
SALTY03155	yhbO
SALTY03152	yraO
SALTY03150	yraM
SALTY03149	yraL
SALTY03147	STM3261
SALTY03146	STM3260
SALTY03145	STM3259
SALTY03144	STM3258
SALTY03143	STM3257
SALTY03142	STM3256
SALTY03141	STM3255
SALTY03140	STM3254
SALTY03139	STM3253
SALTY03138	agaR
SALTY03137	STM3251
SALTY03136	garD
SALTY03135	garL
SALTY03134	garR
SALTY03133	garK
SALTY03132	tdcA
SALTY03131	tdcB
SALTY03130	tdcC
SALTY03129	tdcD
SALTY03128	tdcE
SALTY03127	tdcG
SALTY03126	yhaO
SALTY03125	yhaN
SALTY03123	yhaK
SALTY03122	yhaJ
SALTY03120	yqjG
SALTY03119	yqjF
SALTY03114	yqjB
SALTY03113	yqjA
SALTY03112	ygjU
SALTY03111	ygjT
SALTY03110	ygjR
SALTY03108	ygjP
SALTY03107	ygjO
SALTY03106	fadH
SALTY03105	oat
SALTY03104	aer
SALTY03103	STM3216
SALTY03101	yqjH
SALTY03100	mug
SALTY03099	rpoD
SALTY03098	dnaG
SALTY03097	rpsU
SALTY03096	gcp
SALTY03094	folB
SALTY03093	bacA
SALTY03092	cca
SALTY03091	ygiM
SALTY03090	ygiF
SALTY03089	glnE
SALTY03088	rfaE
SALTY03084	yqiC
SALTY03083	ribB
SALTY03082	STM3194
SALTY03081	STM3193
SALTY03078	ygiE
SALTY03077	ygiD
SALTY03076	ygiC
SALTY03075	ygiB
SALTY03074	tolC
SALTY03073	yqiE
SALTY03072	yqiB
SALTY03071	icc
SALTY03070	yqiA
SALTY03069	parE
SALTY03068	ygiN
SALTY03067	mdaB
SALTY03066	ygiY
SALTY03065	ygiX
SALTY03064	ygiW
SALTY03062	parC
SALTY03061	plsC
SALTY03060	sufI
SALTY03059	ygiK
SALTY03058	STM3170
SALTY03057	STM3169
SALTY03053	yqhE
SALTY03052	yqhD
SALTY03051	yqhC
SALTY03049	metC
SALTY03047	exbB
SALTY03046	exbD
SALTY03039	yghW
SALTY03038	hypO
SALTY03037	hybA
SALTY03036	hybB
SALTY03035	hybC
SALTY03034	hybD
SALTY03033	hybE
SALTY03032	hybF
SALTY03031	hybG
SALTY03028	yghU
SALTY03027	gsp
SALTY03026	STM3138
SALTY03025	STM3137
SALTY03024	STM3136
SALTY03023	STM3135
SALTY03022	STM3134
SALTY03017	STM3129
SALTY03012	STM3124
SALTY03011	STM3123
SALTY03010	STM3122
SALTY03009	STM3121
SALTY03008	STM3120
SALTY03003	speC
SALTY03002	nupG
SALTY03001	mltC
SALTY03000	yggX
SALTY02999	mutY
SALTY02997	yggL
SALTY02995	ansB
SALTY02994	yggM
SALTY02993	yggW
SALTY02992	yggV
SALTY02991	yggU
SALTY02990	yggT
SALTY02989	yggS
SALTY02988	yggR
SALTY02987	STM3098
SALTY02984	gshB
SALTY02983	yggJ
SALTY02980	galP
SALTY02979	metK
SALTY02975	speA
SALTY02972	STM3083
SALTY02971	STM3082
SALTY02970	STM3081
SALTY02969	STM3080
SALTY02967	speB
SALTY02966	yggG
SALTY02965	tktA
SALTY02964	STM3075
SALTY02963	STM3074
SALTY02962	STM3073
SALTY02961	STM3072
SALTY02960	STM3071
SALTY02959	epd
SALTY02958	pgk
SALTY02957	fba
SALTY02956	yggB
SALTY02955	yggA
SALTY02954	yggE
SALTY02953	iciA
SALTY02952	rpiA
SALTY02951	serA
SALTY02950	ygfA
SALTY02949	ygfE
SALTY02948	ygfB
SALTY02947	pepP
SALTY02946	STM3057
SALTY02945	visC
SALTY02944	gcvT
SALTY02943	gcvH
SALTY02942	gcvP
SALTY02941	STM3052
SALTY02940	bglA
SALTY02939	yqfB
SALTY02938	yqfA
SALTY02936	ygfY
SALTY02934	fldB
SALTY02933	xerD
SALTY02932	dsbC
SALTY02931	recJ
SALTY02930	prfB
SALTY02929	lysS
SALTY02928	idi
SALTY02925	STM3035
SALTY02924	STM3034
SALTY02922	STM3031
SALTY02920	stdA
SALTY02919	stdB
SALTY02918	stdC
SALTY02916	STM3025
SALTY02914	yohL
SALTY02910	yqeF
SALTY02909	kduI
SALTY02907	araE
SALTY02906	ygeA
SALTY02905	lysR
SALTY02904	lysA
SALTY02903	STM3012
SALTY02902	galR
SALTY02901	aas
SALTY02900	ygeD
SALTY02899	tas
SALTY02898	ygdR
SALTY02896	mutH
SALTY02895	ygdP
SALTY02894	ptsP
SALTY02893	lgt
SALTY02892	thyA
SALTY02887	STM2996
SALTY02885	recB
SALTY02884	recD
SALTY02883	argA
SALTY02882	amiC
SALTY02881	mltA
SALTY02880	ygdL
SALTY02878	ygdK
SALTY02877	csdA
SALTY02876	ygdI
SALTY02875	gcvA
SALTY02873	ygdE
SALTY02871	fucU
SALTY02870	fucK
